Subject,filepath,Date,Body,Source
T1586.002: Email Accounts,https://attack.mitre.org/techniques/T1586/002,,"Email Accounts. process reads email, process writes email, process executes email, process reads , process writes , process executes , process executes them, process reads targets of interest, process writes targets of interest, process reads accounts, process writes accounts, process executes accounts, process reads existing accounts, process writes existing accounts, process executes existing accounts, process writes file",MITRE-ATT&CK
T1098.007: Additional Local or Domain Groups,https://attack.mitre.org/techniques/T1098/007,,"Additional Local or Domain Groups. process executes remote desktop protocol, process executes sudo and sudo caching for elevated privileges, process reads access to victim systems, process executes access to victim systems, process writes adversary access, process reads, process writes, process executes, process writes accounts",MITRE-ATT&CK
T1608.001: Upload Malware,https://attack.mitre.org/techniques/T1608/001,,"Upload Malware. process reads , process writes , process executes , process writes service configuration, process writes typo - squatting  software, process renames typo - squatting  software, process writes them, process writes infrastructure under their control, process writes infrastructure, process reads network data, process writes network data",MITRE-ATT&CK
T1195: Supply Chain Compromise,https://attack.mitre.org/techniques/T1195,,"Supply Chain Compromise. process reads , process writes , process executes , process executes the access, process reads a software component, process writes a software component, process executes a software component",MITRE-ATT&CK
T1190: Exploit Public-Facing Application,https://attack.mitre.org/techniques/T1190,,"Exploit Public-Facing Application. process reads a weakness, process executes a weakness, process reads , process executes , process reads esxi infrastructure, process executes esxi infrastructure, process reads exposed vmware vcenter servers, process executes exposed vmware vcenter servers, process reads network data, process executes network data",MITRE-ATT&CK
T1558: Steal or Forge Kerberos Tickets,https://attack.mitre.org/techniques/T1558,,"Steal or Forge Kerberos Tickets. process reads , process sends , process executes kerberos, process reads tickets, process sends tickets",MITRE-ATT&CK
T1555: Credentials from Password Stores,https://attack.mitre.org/techniques/T1555,,"Credentials from Password Stores. Adversaries may search for common password storage locations to obtain user credentials.(Citation: F-Secure The Dukes) Passwords are stored in several places on a system, depending on the operating system or application holding the credentials. There are also specific applications and services that store passwords to make them easier for users to manage and maintain, such as password managers and cloud secrets vaults. Once credentials are obtained, they can be used to perform lateral movement an",MITRE-ATT&CK
T1567: Exfiltration Over Web Service,https://attack.mitre.org/techniques/T1567,,"Exfiltration Over Web Service. process reads file, process sends file",MITRE-ATT&CK
T1219: Remote Access Tools,https://attack.mitre.org/techniques/T1219,,"Remote Access Tools. process writes network connection, process writes network data, process writes a session between two trusted hosts, process writes a graphical interface, process writes line a interaction, process executes response features, process writes an interactive remote desktop session, process writes the target system, process writes reverse a connection, process writes service configuration",MITRE-ATT&CK
T1583.001: Domains,https://attack.mitre.org/techniques/T1583/001,,"Domains. process writes lookalike similar domains, process writes malware, process sends malware, process writes victim machines, process sends victim machines, process reads , process writes , process executes , process executes example, process executes aws environments, process executes service configuration, process writes hosted zones",MITRE-ATT&CK
T1560.002: Archive via Library,https://attack.mitre.org/techniques/T1560/002,,"Archive via Library. process reads file, process writes file, process reads , process writes , process reads detection, process sends detection",MITRE-ATT&CK
T1055.003: Thread Execution Hijacking,https://attack.mitre.org/techniques/T1055/003,,"Thread Execution Hijacking. process writes shared library, process reads shared library, process writes process memory, process reads process memory, process writes order, process reads order, process reads , process writes , process reads privileges, process executes privileges, process writes native windows api calls such as openthread, process writes a suspended state, process executes , process executes functionalities",MITRE-ATT&CK
T1036: Masquerading,https://attack.mitre.org/techniques/T1036,,"Masquerading. process writes , process renames , process executes the sake of evading defenses and observation",MITRE-ATT&CK
T1546.011: Application Shimming,https://attack.mitre.org/techniques/T1546/011,,"Application Shimming. process writes persistence, process reads privileges, process executes privileges, process writes , process writes windows xp, process writes the framework, process writes address the table, process writes the kernel, process writes shared library, process reads shared library, process writes process memory, process reads process memory, process reads memory addresses ( getprocaddress ), process executes , process executes these mechanisms, process executes a means, process writes event triggers, process executes these triggered execution mechanisms, process reads their privileges, process executes their privileges",MITRE-ATT&CK
T1552: Unsecured Credentials,https://attack.mitre.org/techniques/T1552,,"Unsecured Credentials. process reads , process writes , process executes ",MITRE-ATT&CK
T1547.010: Port Monitors,https://attack.mitre.org/techniques/T1547/010,,"Port Monitors. process reads , process writes , process executes , process executes these, process reads privileges, process executes privileges",MITRE-ATT&CK
T1070.008: Clear Mailbox Data,https://attack.mitre.org/techniques/T1070/008,,"Clear Mailbox Data. process writes file, process deletes linux and macos, process deletes email, process deletes line a utility, process deletes, process writes artifacts generated within systems, process writes, process reads the integrity of security solutions, process writes the integrity of security solutions, process executes the integrity of security solutions",MITRE-ATT&CK
T1037.002: Login Hook,https://attack.mitre.org/techniques/T1037/002,,"Login Hook. process writes log file, process writes , process writes hooks, process writes persistence, process reads their privileges, process executes their privileges",MITRE-ATT&CK
T1659: Content Injection,https://attack.mitre.org/techniques/T1659,,"Content Injection. process writes content, process reads content, process writes systems, process reads systems, process writes network data, process reads network data, process reads , process writes , process executes , process writes their own content, process reads their own content, process executes network data, process writes executable, process sends executable, process executes systems",MITRE-ATT&CK
T1055: Process Injection,https://attack.mitre.org/techniques/T1055,,"Process Injection. process writes shared library, process reads shared library, process writes process memory, process reads process memory, process writes order, process reads order, process reads privileges, process executes privileges, process reads , process executes , process executes functionalities",MITRE-ATT&CK
T1567.004: Exfiltration Over Webhook,https://attack.mitre.org/techniques/T1567/004,,"Exfiltration Over Webhook. process reads file, process sends file, process reads a webhook endpoint, process sends a webhook endpoint, process writes a ticket, process writes file, process writes the url, process writes order to exfiltrate it, process reads it, process sends it, process executes webhooks",MITRE-ATT&CK
T1205: Traffic Signaling,https://attack.mitre.org/techniques/T1205,,"Traffic Signaling. process reads the packets, process reads question, process executes raw sockets",MITRE-ATT&CK
T1021.008: Direct Cloud VM Connections,https://attack.mitre.org/techniques/T1021/008,,"Direct Cloud VM Connections. process executes accounts, process executes a blend of protocols, including vnc, process executes applications, process reads versions of macos, process executes versions of macos, process reads an ssh session, process executes an ssh session, process reads ard an session, process executes ard an session",MITRE-ATT&CK
T1218: System Binary Proxy Execution,https://attack.mitre.org/techniques/T1218,,"System Binary Proxy Execution. process executes linux systems adversaries, process executes trusted binaries",MITRE-ATT&CK
T1070.006: Timestomp,https://attack.mitre.org/techniques/T1070/006,,"Timestomp. process writes file, process writes the timestamps, process writes , process writes the ` $ si ` attribute, process writes the user level, process writes timestamps, process writes times on both attributes, process renames , process deletes, process writes artifacts generated within systems, process reads the integrity of security solutions, process writes the integrity of security solutions, process executes the integrity of security solutions",MITRE-ATT&CK
T1557.004: Evil Twin,https://attack.mitre.org/techniques/T1557/004,,"Evil Twin. process writes twin attacks, process executes twin attacks, process reads network data, process reads credential file, process sends credential file, process executes features, process reads information, process executes their position, process executes order, process writes aitm an position, process executes the aitm position, process writes file",MITRE-ATT&CK
T1620: Reflective Code Loading,https://attack.mitre.org/techniques/T1620,,"Reflective Code Loading. process writes a thread, process executes , process writes file, process writes disk, process reads , process writes , process reads execution, process writes execution",MITRE-ATT&CK
T1016.002: Wi-Fi Discovery,https://attack.mitre.org/techniques/T1016/002,,"Wi-Fi Discovery. process reads , process writes , process executes , process reads various types, process reads wi - fi names, process executes network data, process executes esxi",MITRE-ATT&CK
T1480.002: Mutual Exclusion,https://attack.mitre.org/techniques/T1480/002,,"Mutual Exclusion. process writes system unique a mutex, process reads , process writes , process executes , process writes a second instance of itself",MITRE-ATT&CK
T1564.011: Ignore Process Interrupts,https://attack.mitre.org/techniques/T1564/011,,"Ignore Process Interrupts. process writes messages, process sends messages, process writes process memory, process sends process memory, process writes trap, process writes persistence, process executes these features, process writes computing regions",MITRE-ATT&CK
T1611: Escape to Host,https://attack.mitre.org/techniques/T1611,,"Escape to Host. process writes a container, process executes , process reads privileges and steal secrets, process executes privileges and steal secrets, process reads a  container, process executes a  container, process reads management mounted a socket, process executes management mounted a socket, process reads , process writes , process reads vulnerabilities in global symbolic links, process executes vulnerabilities in global symbolic links, process reads order, process executes order, process reads esxi environments, process executes esxi environments, process reads a vulnerability, process executes a vulnerability, process writes persistence",MITRE-ATT&CK
T1518.002: Backup Software Discovery,https://attack.mitre.org/techniques/T1518/002,,"Backup Software Discovery. process writes the environment, process executes the environment, process reads software, process reads a variety, process reads , process writes , process executes ",MITRE-ATT&CK
T1547.009: Shortcut Modification,https://attack.mitre.org/techniques/T1547/009,,"Shortcut Modification. process writes , process writes shortcuts, process executes shortcuts, process executes the startup folder, process writes a new shortcut as a means of indirection, process executes , process renames , process writes persistence, process writes example, process writes ( e.g. browser extensions ), process reads, process executes these, process reads privileges, process executes privileges",MITRE-ATT&CK
T1010: Application Window Discovery,https://attack.mitre.org/techniques/T1010,,Application Window Discovery. process reads ,MITRE-ATT&CK
T1569.003: Systemctl,https://attack.mitre.org/techniques/T1569/003,,"Systemctl. process executes systemctl, process executes service configuration, process writes service configuration, process writes, process executes one - time or temporary execution",MITRE-ATT&CK
T1087.003: Email Account,https://attack.mitre.org/techniques/T1087/003,,"Email Account. process reads address lists, process writes address lists, process reads, process writes, process executes, process reads accounts",MITRE-ATT&CK
T1497.003: Time Based Checks,https://attack.mitre.org/techniques/T1497/003,,Time Based Checks. process reads ,MITRE-ATT&CK
T1218.003: CMSTP,https://attack.mitre.org/techniques/T1218/003,,"CMSTP. process executes cmstp, process executes shared library, process executes remote access connections, process executes , process executes bypass user account control, process reads , process executes linux systems adversaries, process executes trusted binaries",MITRE-ATT&CK
T1563.001: SSH Hijacking,https://attack.mitre.org/techniques/T1563/001,,"SSH Hijacking. process reads a  user 's ssh session, process writes a  user 's ssh session, process reads , process writes , process executes , process writes other systems, process writes authentication key file, process reads an existing connection to another system, process writes an existing connection to another system, process reads the ssh agent itself, process writes the ssh agent itself, process executes the ssh agent itself, process reads an existing ssh session, process writes an existing ssh session, process writes a new session using  accounts, process reads an existing session, process writes an existing session",MITRE-ATT&CK
T1562.002: Disable Windows Event Logging,https://attack.mitre.org/techniques/T1562/002,,"Disable Windows Event Logging. process writes windows event, process executes detections and audits, process writes example, process writes disabled commands, process writes , process writes the “ start ” value, process writes service configuration, process writes authentication key file, process writes administrator privileges, process writes the "" start "" value, process writes log file, process writes same the values, process deletes the audit policy, process writes the audit policy, process writes a specified setting or audit category, process writes components of a victim environment, process writes order to hinder or disable defensive mechanisms, process writes process memory",MITRE-ATT&CK
T1029: Scheduled Transfer,https://attack.mitre.org/techniques/T1029,,"Scheduled Transfer. Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity or availability.

When scheduled exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as [Exfiltration Over C2 Channel](https://attack.mitre.org/techniques/T1041) or [Exfiltration Over Alternative Protocol](https://attack.mitre.org/techniques/T1048",MITRE-ATT&CK
T1021.002: SMB/Windows Admin Shares,https://attack.mitre.org/techniques/T1021/002,,"SMB/Windows Admin Shares. process executes a blend of protocols , including vnc, process executes applications, process reads versions of macos, process executes versions of macos, process reads an ssh session, process executes an ssh session, process reads ard an session, process executes ard an session",MITRE-ATT&CK
T1525: Implant Internal Image,https://attack.mitre.org/techniques/T1525,,"Implant Internal Image. process writes persistence, process reads , process writes , process executes ",MITRE-ATT&CK
T1572: Protocol Tunneling,https://attack.mitre.org/techniques/T1572,,"Protocol Tunneling. process executes , process reads , process writes , process executes protocol tunneling, process executes service configuration",MITRE-ATT&CK
T1218.002: Control Panel,https://attack.mitre.org/techniques/T1218/002,,"Control Panel. process executes control.exe, process executes executable, process writes email, process sends email, process executes linux systems adversaries, process executes trusted binaries",MITRE-ATT&CK
T1599.001: Network Address Translation Traversal,https://attack.mitre.org/techniques/T1599/001,,"Network Address Translation Traversal. process writes configuration file, process reads network data, process writes network data, process executes network data, process reads, process writes, process executes, process executes these, process executes conjunction with internal proxy",MITRE-ATT&CK
T1608.002: Upload Tool,https://attack.mitre.org/techniques/T1608/002,,"Upload Tool. process reads , process writes , process executes , process writes service configuration, process writes them, process writes infrastructure under their control, process writes infrastructure, process reads network data, process writes network data",MITRE-ATT&CK
T1547.005: Security Support Provider,https://attack.mitre.org/techniques/T1547/005,,"Security Support Provider. process executes security support providers ( ssps ), process writes authentication key file, process reads, process writes, process executes, process executes these, process reads privileges, process executes privileges",MITRE-ATT&CK
T1036.011: Overwrite Process Arguments,https://attack.mitre.org/techniques/T1036/011,,"Overwrite Process Arguments. process writes process memory, process writes, process renames, process executes the sake of evading defenses and observation",MITRE-ATT&CK
T1550: Use Alternate Authentication Material,https://attack.mitre.org/techniques/T1550,,"Use Alternate Authentication Material. process reads credential file, process sends credential file, process reads alternate authentication material, process sends alternate authentication material",MITRE-ATT&CK
T1597.001: Threat Intel Vendors,https://attack.mitre.org/techniques/T1597/001,,Threat Intel Vendors. process writes operational resources,MITRE-ATT&CK
T1011: Exfiltration Over Other Network Medium,https://attack.mitre.org/techniques/T1011,,"Exfiltration Over Other Network Medium. process reads file, process sends file, process reads network data, process sends network data",MITRE-ATT&CK
T1602.002: Network Device Configuration Dump,https://attack.mitre.org/techniques/T1602/002,,Network Device Configuration Dump. process reads file,MITRE-ATT&CK
T1589: Gather Victim Identity Information,https://attack.mitre.org/techniques/T1589,,"Gather Victim Identity Information. process reads active other means, process writes operational resources",MITRE-ATT&CK
T1562.004: Disable or Modify System Firewall,https://attack.mitre.org/techniques/T1562/004,,"Disable or Modify System Firewall. process writes , process writes system firewalls, process writes network data, process writes entire the mechanism, process writes particular rules, process writes a system firewall, process writes firewall rules, process writes esxi, process writes the esxcli command line interface (, process writes components of a victim environment, process writes order to hinder or disable defensive mechanisms, process writes process memory",MITRE-ATT&CK
T1560: Archive Collected Data,https://attack.mitre.org/techniques/T1560,,"Archive Collected Data. process reads file, process writes file, process reads , process reads detection, process sends detection",MITRE-ATT&CK
T1553.003: SIP and Trust Provider Hijacking,https://attack.mitre.org/techniques/T1553/003,,"SIP and Trust Provider Hijacking. process writes sip and trust provider components, process writes trust, process writes shared library, process writes executable, process writes software components, process writes retrieve , calculate , and verify signatures, process executes this architecture, process reads sip and trust provider components, process writes hklm\software[\wow6432node\]microsoft\cryptography\oid\encodingtype, process writes point, process writes configuration file, process reads shared library, process writes hklm\software\[wow6432node\]microsoft\cryptography\providers\trust\finalpolicy\{trust provider guid, process writes, process sends shared library",MITRE-ATT&CK
T1185: Browser Session Hijacking,https://attack.mitre.org/techniques/T1185,,"Browser Session Hijacking. process writes user - behaviors, process reads information, process reads part of various browser session hijacking techniques, process writes software, process reads software, process writes a browser, process reads a browser, process writes , process reads , process writes process memory",MITRE-ATT&CK
T1021: Remote Services,https://attack.mitre.org/techniques/T1021,,"Remote Services. process executes a blend of protocols , including vnc, process executes applications, process reads versions of macos, process executes versions of macos, process reads an ssh session, process executes an ssh session, process reads ard an session, process executes ard an session",MITRE-ATT&CK
T1071.003: Mail Protocols,https://attack.mitre.org/techniques/T1071/003,,Mail Protocols. process executes these protocols,MITRE-ATT&CK
T1556.007: Hybrid Identity,https://attack.mitre.org/techniques/T1556/007,,"Hybrid Identity. process writes , process writes which, process writes active directory and entra id 

 ad fs, process writes persistent privileged access to cloud resources, process reads an server, process writes an server, process executes an server, process writes example, process reads example, process writes shared library, process reads shared library, process writes process memory, process writes the cloud, process reads administrator a account, process writes administrator a account, process executes administrator a account, process reads credential file, process reads, process executes",MITRE-ATT&CK
T1595.002: Vulnerability Scanning,https://attack.mitre.org/techniques/T1595/002,,"Vulnerability Scanning. process sends victims, process receives victims, process sends vulnerabilities that can be used during targeting, process receives vulnerabilities that can be used during targeting, process reads running software and version numbers, process reads server banners, process writes operational resources",MITRE-ATT&CK
T1059.009: Cloud API,https://attack.mitre.org/techniques/T1059/009,,"Cloud API. process executes cloud apis, process executes proper permissions, process executes command and script interpreters, process executes log file, process executes various ways, process executes a means of executing  commands, process writes victims, process sends victims, process writes file, process sends file",MITRE-ATT&CK
T1596: Search Open Technical Databases,https://attack.mitre.org/techniques/T1596,,Search Open Technical Databases. process writes operational resources,MITRE-ATT&CK
T1218.015: Electron Applications,https://attack.mitre.org/techniques/T1218/015,,"Electron Applications. process executes components of the electron framework, process executes linux systems adversaries, process executes trusted binaries",MITRE-ATT&CK
T1562.012: Disable or Modify Linux Audit System,https://attack.mitre.org/techniques/T1562/012,,"Disable or Modify Linux Audit System. process writes , process writes the linux audit system, process writes service configuration, process writes process memory, process writes log file, process writes the rules, process writes components of a victim environment, process writes order to hinder or disable defensive mechanisms",MITRE-ATT&CK
T1207: Rogue Domain Controller,https://attack.mitre.org/techniques/T1207,,"Rogue Domain Controller. process writes a rogue domain controller ( dc ), process writes , process reads , process writes a objects, process writes backdoors for persistence",MITRE-ATT&CK
T1553.006: Code Signing Policy Modification,https://attack.mitre.org/techniques/T1553/006,,"Code Signing Policy Modification. process writes shared library, process writes , process writes default signature enforcement policies, process writes the development and testing of applications, process writes these features, process writes a number of ways, process reads , process executes , process writes variables, process writes g_cioptions, process writes driver signature enforcement, process reads shared library, process sends shared library",MITRE-ATT&CK
T1610: Deploy Container,https://attack.mitre.org/techniques/T1610,,"Deploy Container. process writes a container, process executes a container, process writes an environment to facilitate execution or evade defenses, process executes an environment to facilitate execution or evade defenses, process writes some cases, process executes some cases, process writes others, process executes others, process writes new a container, process executes new a container, process writes a privileged or vulnerable container, process executes a privileged or vulnerable container, process writes a specific node, process executes a specific node, process writes order, process executes order, process writes , process executes , process writes kubernetes environments, process executes kubernetes environments, process writes workloads, process executes workloads, process writes multiple nodes, process executes multiple nodes, process writes containers, process executes containers",MITRE-ATT&CK
T1112: Modify Registry,https://attack.mitre.org/techniques/T1112,,"Modify Registry. process writes order, process writes impair defenses, process writes systems, process writes , process executes authentication key file",MITRE-ATT&CK
T1543.004: Launch Daemon,https://attack.mitre.org/techniques/T1543/004,,"Launch Daemon. process writes , process writes launch daemons, process writes executable, process writes process memory, process writes persistence, process writes service configuration, process writes administrator privileges, process executes process memory, process executes order to escalate privileges, process reads privileges, process executes privileges",MITRE-ATT&CK
T1580: Cloud Infrastructure Discovery,https://attack.mitre.org/techniques/T1580,,"Cloud Infrastructure Discovery. process reads infrastructure, process reads cloud storage infrastructure, process reads wordlist scanning, process reads resources, process reads , process writes , process executes , process writes persistence, process reads the requirements",MITRE-ATT&CK
T1555.003: Credentials from Web Browsers,https://attack.mitre.org/techniques/T1555/003,,"Credentials from Web Browsers. process reads , process writes ",MITRE-ATT&CK
T1574.008: Path Interception by Search Order Hijacking,https://attack.mitre.org/techniques/T1574/008,,"Path Interception by Search Order Hijacking. process reads the search order used to load other programs, process writes the search order used to load other programs, process executes the order, process writes a program named after the improperly specified program, process reads shared library, process writes shared library, process reads the way operating systems run programs, process writes the way operating systems run programs, process reads privileges, process executes privileges, process reads the flow, process writes the flow, process reads",MITRE-ATT&CK
T1491: Defacement,https://attack.mitre.org/techniques/T1491,,"Defacement. process writes visual content, process writes false credit, process sends false credit",MITRE-ATT&CK
T1535: Unused/Unsupported Cloud Regions,https://attack.mitre.org/techniques/T1535,,"Unused/Unsupported Cloud Regions. process writes service configuration, process writes order to evade detection, process reads , process writes , process executes , process writes resources, process writes an unused region",MITRE-ATT&CK
T1557.003: DHCP Spoofing,https://attack.mitre.org/techniques/T1557/003,,"DHCP Spoofing. process reads network data, process writes an aitm position, process executes dhcp spoofing, process executes features, process reads information, process executes their position, process executes order, process reads credential file, process writes aitm an position, process executes the aitm position, process writes file",MITRE-ATT&CK
T1563: Remote Service Session Hijacking,https://attack.mitre.org/techniques/T1563,,"Remote Service Session Hijacking. process writes , process reads an existing session, process writes an existing session, process writes a new session using  accounts",MITRE-ATT&CK
T1564.013: Bind Mounts,https://attack.mitre.org/techniques/T1564/013,,"Bind Mounts. process executes file, process executes these features, process writes computing regions",MITRE-ATT&CK
T1027.001: Binary Padding,https://attack.mitre.org/techniques/T1027/001,,"Binary Padding. process writes file, process sends file, process receives file, process reads analysis, process sends service configuration, process receives service configuration, process reads, process reads its contents, process writes its contents, process reads the system, process writes the system, process reads order to avoid detection, process writes order to avoid detection, process writes, process executes command obfuscation",MITRE-ATT&CK
T1505.003: Web Shell,https://attack.mitre.org/techniques/T1505/003,,"Web Shell. process writes persistent access to systems, process executes extensible development features of servers",MITRE-ATT&CK
T1484.001: Group Policy Modification,https://attack.mitre.org/techniques/T1484/001,,"Group Policy Modification. process writes group policy objects ( gpos ), process reads , process executes , process executes example, process writes gpo settings, process writes this case, process writes some cases, process writes specific user rights like seenabledelegationprivilege, process writes gpos, process writes configuration file, process reads privileges, process executes privileges, process reads centrally managed environments, process executes centrally managed environments, process writes sufficient permissions, process writes domain or tenant policy settings, process writes domain trusts, process writes domain or tenant policy",MITRE-ATT&CK
T1217: Browser Information Discovery,https://attack.mitre.org/techniques/T1217,,"Browser Information Discovery. process reads information, process reads , process writes , process executes ",MITRE-ATT&CK
T1552.004: Private Keys,https://attack.mitre.org/techniques/T1552/004,,"Private Keys. process reads , process writes , process executes , process reads the device, process executes the device",MITRE-ATT&CK
T1583.004: Server,https://attack.mitre.org/techniques/T1583/004,,"Server. process writes , process reads a third - party server, process writes a third - party server, process executes a third - party server, process executes ",MITRE-ATT&CK
T1021.006: Windows Remote Management,https://attack.mitre.org/techniques/T1021/006,,"Windows Remote Management. process writes configuration file, process writes service configuration, process executes a blend of protocols, including vnc, process executes applications, process reads versions of macos, process executes versions of macos, process reads an ssh session, process executes an ssh session, process reads ard an session, process executes ard an session",MITRE-ATT&CK
T1011.001: Exfiltration Over Bluetooth,https://attack.mitre.org/techniques/T1011/001,,"Exfiltration Over Bluetooth. process reads file, process sends file, process reads network data, process sends network data",MITRE-ATT&CK
T1078.001: Default Accounts,https://attack.mitre.org/techniques/T1078/001,,"Default Accounts. process reads credential file, process sends credential file, process writes a system, process writes initial setup, process writes example, process writes the esxi server, process writes credential file, process executes credential file, process reads, process writes, process executes, process executes some cases, process executes inactive accounts",MITRE-ATT&CK
T1547.003: Time Providers,https://attack.mitre.org/techniques/T1547/003,,"Time Providers. process executes time providers, process executes this architecture, process writes persistence, process writes a new, process reads, process writes, process executes, process executes these, process reads privileges, process executes privileges",MITRE-ATT&CK
T1546.005: Trap,https://attack.mitre.org/techniques/T1546/005,,"Trap. process writes persistence, process reads privileges, process executes privileges, process executes these mechanisms, process executes a means, process writes event triggers, process executes these triggered execution mechanisms, process reads their privileges, process executes their privileges",MITRE-ATT&CK
T1574.006: Dynamic Linker Hijacking,https://attack.mitre.org/techniques/T1574/006,,"Dynamic Linker Hijacking. process reads , process executes , process writes a  library, process reads a  library, process writes process memory, process reads process memory, process reads the way operating systems run programs, process writes the way operating systems run programs, process reads privileges, process executes privileges, process reads the flow, process writes the flow",MITRE-ATT&CK
T1136.001: Local Account,https://attack.mitre.org/techniques/T1136/001,,"Local Account. process writes a local account, process writes network data, process writes example, process reads a vulnerable firewall management system, process executes a vulnerable firewall management system, process writes admin - super accounts, process writes firewall rules, process writes credential file, process writes the system, process executes the system, process writes an account, process writes such accounts, process writes the local system, process writes cloud environments, process writes accounts",MITRE-ATT&CK
T1681: Search Threat Vendor Data,https://attack.mitre.org/techniques/T1681,,"Search Threat Vendor Data. Threat actors may seek information/indicators from closed or open threat intelligence sources gathered about their own campaigns, as well as those conducted by other adversaries that may align with their target industries, capabilities/objectives, or other operational concerns. These reports may include descriptions of behavior, detailed breakdowns of attacks, atomic indicators such as malware hashes or IP addresses, timelines of a group’s activity, and more. Adversaries may change their behavio",MITRE-ATT&CK
T1674: Input Injection,https://attack.mitre.org/techniques/T1674,,"Input Injection. Adversaries may simulate keystrokes on a victim’s computer by various means to perform any type of action on behalf of the user, such as launching the command interpreter using keyboard shortcuts,  typing an inline script to be executed, or interacting directly with a GUI-based application.  These actions can be preprogrammed into adversary tooling or executed through physical devices such as Human Interface Devices (HIDs).

For example, adversaries have used tooling that monitors the Windows me",MITRE-ATT&CK
T1092: Communication Through Removable Media,https://attack.mitre.org/techniques/T1092,,"Communication Through Removable Media. process reads , process writes , process executes ",MITRE-ATT&CK
T1070.001: Clear Windows Event Logs,https://attack.mitre.org/techniques/T1070/001,,"Clear Windows Event Logs. process deletes log file, process writes log file, process deletes administrator privileges, process writes administrator privileges, process deletes the following utility commands :, process writes the following utility commands :, process deletes other mechanisms , such as the event, process writes other mechanisms , such as the event, process deletes , process writes , process deletes file, process deletes `, process writes artifacts generated within systems, process reads the integrity of security solutions, process writes the integrity of security solutions, process executes the integrity of security solutions",MITRE-ATT&CK
T1585.002: Email Accounts,https://attack.mitre.org/techniques/T1585/002,,"Email Accounts. process writes email, process executes them, process executes service configuration, process writes , process writes accounts, process writes a persona, process executes email",MITRE-ATT&CK
T1557.001: LLMNR/NBT-NS Poisoning and SMB Relay,https://attack.mitre.org/techniques/T1557/001,,"LLMNR/NBT-NS Poisoning and SMB Relay. process reads , process reads hash the information, process executes features, process reads information, process executes their position, process executes order, process reads credential file, process writes aitm an position, process executes the aitm position, process writes file",MITRE-ATT&CK
T1222: File and Directory Permissions Modification,https://attack.mitre.org/techniques/T1222,,"File and Directory Permissions Modification. process writes file, process writes , process deletes file, process writes persistence, process writes accessibility features, process reads , process writes example, process writes symbolic links and associated settings",MITRE-ATT&CK
T1003.001: LSASS Memory,https://attack.mitre.org/techniques/T1003/001,,"LSASS Memory. process reads , process reads in - memory techniques, process writes in - memory techniques, process reads the target host, process writes the target host, process executes , process writes a memory dump of ` lsass.exe `, process writes windows error reporting ( ` werfault.exe ` ), process writes authentication key file, process reads credential file, process writes credential file, process reads the form, process writes the form",MITRE-ATT&CK
T1176.002: IDE Extensions,https://attack.mitre.org/techniques/T1176/002,,"IDE Extensions. process executes development integrated an environment, process writes persistent access to victim systems, process executes addition to installing  extensions, process executes benign ones, process writes example, process writes persistent ssh tunnels, process writes the use, process writes process memory, process writes a backdoor , mine cryptocurrency , or, process reads file, process sends file, process executes software extensions, process reads, process writes, process executes, process reads process memory, process executes process memory, process executes benign extensions, process reads trusted software ecosystems, process executes trusted software ecosystems",MITRE-ATT&CK
T1595: Active Scanning,https://attack.mitre.org/techniques/T1595,,Active Scanning. process writes operational resources,MITRE-ATT&CK
T1027.016: Junk Code Insertion,https://attack.mitre.org/techniques/T1027/016,,"Junk Code Insertion. process reads a malware ’s functionality, process writes a malware ’s functionality, process reads shared library, process writes shared library, process reads, process reads its contents, process writes its contents, process reads the system, process writes the system, process reads order to avoid detection, process writes order to avoid detection, process writes, process executes command obfuscation",MITRE-ATT&CK
T1548: Abuse Elevation Control Mechanism,https://attack.mitre.org/techniques/T1548,,"Abuse Elevation Control Mechanism. process reads privileges, process executes privileges, process reads a system, process executes a system",MITRE-ATT&CK
T1134.002: Create Process with Token,https://attack.mitre.org/techniques/T1134/002,,"Create Process with Token. process writes process memory, process writes authentication token, process reads privileges and bypass access controls, process executes privileges and bypass access controls, process reads that user, process executes that user, process writes access, process writes, process reads authentication token, process sends authentication token, process reads their security context, process executes their security context, process reads the administrator level, process executes the administrator level, process reads the system level, process executes the system level",MITRE-ATT&CK
T1548.001: Setuid and Setgid,https://attack.mitre.org/techniques/T1548/001,,"Setuid and Setgid. process executes configuration file, process writes an entry, process executes , process reads privileges, process executes privileges, process reads a system, process executes a system",MITRE-ATT&CK
T1547.004: Winlogon Helper DLL,https://attack.mitre.org/techniques/T1547/004,,"Winlogon Helper DLL. process executes log file, process writes persistence, process reads, process writes, process executes, process executes these, process reads privileges, process executes privileges",MITRE-ATT&CK
T1021.003: Distributed Component Object Model,https://attack.mitre.org/techniques/T1021/003,,"Distributed Component Object Model. process writes , process executes a blend of protocols, including vnc, process executes applications, process reads versions of macos, process executes versions of macos, process reads an ssh session, process executes an ssh session, process reads ard an session, process executes ard an session",MITRE-ATT&CK
T1110.003: Password Spraying,https://attack.mitre.org/techniques/T1110/003,,"Password Spraying. process executes authentication attempts, process executes knowledge, process reads, process writes, process executes",MITRE-ATT&CK
T1090.002: External Proxy,https://attack.mitre.org/techniques/T1090/002,,"External Proxy. process reads , process writes , process executes ",MITRE-ATT&CK
